title,opening_weekend,foreign_gross,release_date,posts_score,comments_score
The SpongeBob Movie: Sponge Out of Water,55365012,142300000,2015-02-06,7181,59491
127 Hours,264851,42403567,2010-11-05,2185,10596
Little Fockers,30833665,162211985,2010-12-22,653,3687
Chronicle,22004098,62060922,2012-02-03,5224,52555
The Gunman,5028702,,2015-03-20,328,1016
The Artist,204878,88761174,2011-11-25,21577,29329
Sabotage,5272444,7000000,2014-03-28,3790,3866
Welcome Home Roscoe Jenkins,16207730,1214268,2008-02-08,0,0
Roman Polanski: Wanted and Desired,4613,41266,2008-07-11,0,0
The Lion King,30151614,83400000,2011-09-16,16876,39189
Season of the Witch,10612375,66800000,2011-01-07,117,1021
I've Loved You So Long,72205,19102871,2008-10-24,632,3952
Aliens in the Attic,8008423,32680644,2009-07-31,44,1301
The Stepfather,11581586,2135970,2009-10-16,20,160
Paul Blart: Mall Cop,31832636,36956953,2009-01-16,253,1966
Ghosts of Girlfriends Past,15411434,46973243,2009-05-01,102,3980
Kit Kittredge: An American Girl,220297,,2008-06-20,0,0
Transformers: Dark of the Moon,97852865,771403536,2011-06-29,1228,2917
Gnomeo and Juliet,25356909,94000000,2011-02-11,52,77
Finding Nemo,16687773,31000000,2012-09-14,14159,60782
Epic,33531068,160907952,2013-05-24,16157,95799
The To-Do List,1579402,74556,2013-07-26,10889,48713
Mongol,135326,20821749,2008-06-06,54,443
Jack and Jill,25003575,75515631,2011-11-11,6402,33176
Halloween II,16349565,6028494,2009-08-28,1578,3073
Rio 2,39327869,368650000,2014-04-11,412,1295
Planet 51,12286129,63453042,2009-11-20,397,1000
De Dana Dan,577381,1040444,2009-11-27,14,45
Three Monkeys,3045,1898907,2009-03-27,171,785
The Muppets,29239026,76553000,2011-11-23,18926,31090
Noah,43720472,261437429,2014-03-28,15070,52159
Chef,204961,14543932,2014-05-09,2151,4640
The World's End,8811790,20084436,2013-08-23,16071,58030
The Messenger,44523,411601,2009-11-13,7384,11481
The Green Hornet,33526876,129037206,2011-01-14,884,6316
Splice,7385277,9847289,2010-06-04,224,1924
Nothing Like the Holidays,3531664,15754,2008-12-12,5,127
Bangkok Dangerous,7783266,27189257,2008-09-05,5,46
Monsters University,82429469,475066843,2013-06-21,13560,42114
Push,10079109,17047091,2009-02-06,15436,86233
My One and Only,58692,546734,2009-08-21,10109,50074
Pain and Gain,20244505,36300000,2013-04-26,4592,40011
Paa,199228,31194,2009-12-04,1,35
Escape From Planet Earth,15891055,17584666,2013-02-15,248,1128
Predators,24760882,75232420,2010-07-09,5945,15453
New in Town,6741530,12276534,2009-01-30,620,3585
The Amazing Truth About Queen Raquela,2700,1731,2008-09-26,0,0
Miss Conception,1342,226794,2008-06-06,0,290
Apollo 18,8704271,7875215,2011-09-02,211,796
For Colored Girls,19497324,17318,2010-11-05,37,295
The Kids Are All Right,491971,13894485,2010-07-09,219,2586
The Box,7571417,18281554,2009-11-06,25881,245337
Brighton Rock,10626,11484,2009-06-19,4,22
Tout est Parfait,99604,36791,2008-02-15,10,13
"Men, Women & Children",48024,1534627,2014-10-01,3449,55677
Evangelion 1.0 You Are,1579,116042,2009-07-03,7,2
The Back-Up Plan,12201710,39987001,2010-04-23,2278,26276
Still Alice,197000,9843721,2015-01-16,6077,153495
The Hangover Part II,85946294,332300000,2011-05-26,477,1132
U Me Aur Hum,642923,9919828,2008-04-11,0,0
Rab Ne Bana Di Jodi,920995,27835513,2008-12-12,0,0
Wrath of the Titans,33457188,221600000,2012-03-30,81,415
In the Name of the King: A Dungeon Siege Tale,2984524,8322259,2008-01-11,0,58
The Happening,30517109,98896925,2008-06-13,14701,63955
3 Idiots,1645502,4208189,2009-12-23,4784,16603
Red State,204230,,2011-03-05,2339,5047
Judy Moody and the NOT Bummer Summer,6076859,,2011-06-10,0,0
Hall Pass,13535374,38100000,2011-02-25,163,483
Tyler Perry's Good Deeds,15583924,553000,2012-02-24,0,48
Unfinished Business,4772613,3400000,2015-03-06,426,3623
X-Men: First Class,55101604,207215819,2011-06-03,5684,74802
Legends of Oz: Dorothy's Return,3747780,10200000,2014-05-09,430,669
Flawless,181910,5619353,2008-03-28,382,9373
Blue Jasmine,612064,64100000,2013-07-26,3367,69298
Fright Night,7714388,22700000,2011-08-19,262,873
Dhoondte Reh Jaoge,5126,2155968,2009-03-06,0,0
Marvel's The Avengers,207438708,895237000,2012-05-04,19168,254116
New Year's Eve,13019180,87500000,2011-12-09,741,2391
Tusk,846831,,2014-09-19,15025,106303
Management,375916,1467085,2009-05-15,2083,19774
Oculus,12005402,16335000,2014-04-11,763,3596
Resident Evil: Afterlife,26650264,236093097,2010-09-10,118,476
Dragonball Evolution,4756488,48134914,2009-04-10,45,426
Inside Llewyn Davis,405411,19700000,2013-12-06,6821,33853
Hotel for Dogs,17012212,43965738,2009-01-16,6001,32192
Sex and Death 101,13516,1205706,2008-04-04,3,70
CJ7,49770,47094093,2008-03-07,43,90
Ouija,19875995,48972259,2014-10-24,586,2441
Runner Runner,7706712,43358449,2013-10-04,15703,35116
Crossing Over,77370,3074215,2009-02-27,48,393
The Ruins,8003421,5295199,2008-04-04,11303,48670
Devil's Due,8308220,20612514,2014-01-17,158,358
Arthur,12222756,12700000,2011-04-08,9067,59175
Bachna Ae Haseeno,322431,10684264,2008-08-15,0,0
